"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"113734","AT 2018mci","01:57:21.039","-15:34:00.68","AGN","0.33","","","ZTF","ZTF","ZTF","ZTF","ZTF18abuoilc","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.91","r-ZTF","2018-11-04 06:24:28.800","ZTF_Bot1","","","2022TNSTR2333....1F","2022TNSCR2590....1P","",""
"33263","AT 2018lkb","11:31:51.576","-12:31:58.56","AGN","0.654","","","ZTF, AMPEL","ZTF","ePESSTO","AMPEL, ZTF","ZTF18adbzccu","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.01","r-ZTF","2018-12-30 11:28:32.000","ZTF_AMPEL_NEW","","","2019TNSTR..27....1N","2019TNSCR..49....1R","",""
"31501","AT 2018iye","13:00:20.059","+61:39:17.89","AGN","0.05","","","ZTF","ZTF","ZTF","ZTF","ZTF18aclgopa","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.5064","r-ZTF","2018-11-25 10:43:39.000","ZTF_AMPEL_NEW","","","2018TNSTR1821....1N","2023TNSCR.300....1J","",""
"31144","AT 2018ikn","09:45:42.020","-14:19:34.50","AGN","0.0077","","","ZTF","ZTF","ePESSTO","ZTF","ZTF18aarybyq","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","17.11","r-ZTF","2018-11-02 13:00:28.000","ZTF_Bot1","","","2018TNSTR1763....1F","2018TNSCR2034....1B","",""
"30986","AT 2018iem","08:32:02.136","+46:14:25.50","AGN","0.045","","","ZTF","ZTF","BTDG","ZTF","ZTF18aakaajs","P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","19.8734","g-ZTF","2018-11-06 12:09:59.000","ZTF_AMPEL_NEW","","","2018TNSTR1744....1N","2019TNSCR2270....1G","",""
"30983","AT 2018iej","19:25:02.183","+50:43:13.81","AGN","0.065","","","ZTF","ZTF","BTDG","ZTF","ZTF18aapzqup","P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","17.9843","g-ZTF","2018-10-06 02:38:06.000","ZTF_AMPEL_NEW","","","2018TNSTR1744....1N","2019TNSCR2270....1G","",""
"30742","AT 2018hve","02:33:22.357","+27:56:13.21","AGN","0.037","","","ZTF","ZTF","None","ZTF","ZTF18aaadtdc","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","18.01","g-ZTF","2018-11-03 09:18:43.000","ZTF_Bot1","","","2018TNSTR1703....1F","2018TNSCR1753....1A","",""
"30476","AT 2018hla","08:36:39.720","+01:07:06.42","AGN","0.201","","","GaiaAlerts","GaiaAlerts","ePESSTO","GaiaAlerts","Gaia18dbj","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.97","G-Gaia","2018-10-15 23:35:31.000","Gaia_Bot1","","","2018TNSTR1593....1D","2018TNSCR1606....1M","",""
"29919","AT 2018gqc","00:21:13.517","-57:45:10.76","AGN","0.134","2MASX J00211387-5745104 ","","ASAS-SN","ASAS-SN","None","ASAS-SN","ASASSN-18vx","ASASSN-2 - Cassius","SOAR - Goodman","1","1","","17.7","V-Johnson","2018-09-18 01:26:24.000","Krzysztof Stanek","","","2018TNSTR1405....1S","2018TNSCR1514....1C","",""
"29777","AT 2018gkq","01:55:22.090","+06:36:43.44","AGN","0.017","","","ZTF","ZTF","ePESSTO","ZTF","ZTF18abtgnxs","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.79","g-ZTF","2018-09-04 09:47:31.000","ZTF_Bot1","","","2018TNSTR1402....1F","2018TNSCR1410....1G","",""
"29489","AT 2018fzo","21:36:15.316","+20:02:07.26","AGN","0.081","","","ZTF, AMPEL","ZTF","None","AMPEL, ZTF","ZTF18abnuhuy","P48 - ZTF-Cam","Lick-3m - KAST","1","1","","20.19","g-ZTF","2018-08-21 09:46:04.000","ZTF_Bot1","","","2018TNSTR1338....1F","2018TNSCR1578....1D","",""
"28911","AT 2018fdk","16:58:41.910","-03:14:16.87","AGN","0.118","","","GaiaAlerts","GaiaAlerts","SCAT","GaiaAlerts","Gaia18cfe","Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","17.23","G-Gaia","2018-08-14 15:30:14.000","Gaia_Bot1","","","2018TNSTR1187....1D","2018TNSCR1209....1T","",""
"28896","AT 2018fcv","03:36:05.540","-26:36:27.63","AGN","0.094","LSBG F482-095","","ASAS-SN, ZTF","ASAS-SN, ZTF","SCAT","ASAS-SN, ZTF","ASASSN-18sf","ASASSN-3 - Paczynski, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.5","g-Sloan","2018-08-15 06:57:36.000","Krzysztof Stanek","","","2018TNSTR1178....1S","2021TNSCR.271....1T","",""
"28892","AT 2018fcr","16:16:42.770","+04:12:28.33","AGN","0.091","","","GaiaAlerts","GaiaAlerts","ePESSTO","GaiaAlerts","Gaia18ceq","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","15.59","G-Gaia","2018-08-13 03:38:52.000","Gaia_Bot1","","","2018TNSTR1180....1D","2018TNSCR1212....1K","",""
"28883","AT 2018fci","18:24:27.120","-58:45:08.57","AGN","0.07","2MASX J18242688-5845090","0.068678","ASAS-SN","ASAS-SN","ePESSTO","ASAS-SN","ASASSN-18sc","ASASSN-5 - Payne-Gaposchkin","ESO-NTT - EFOSC2-NTT","1","1","","17.5","g-Sloan","2018-08-13 18:57:36.000","Krzysztof Stanek","","","2018TNSTR1178....1S","2018TNSCR1208....1K","",""
"28860","AT 2018fbl","22:34:25.381","-06:57:57.89","AGN","0.106","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS18sih","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","ESO-NTT - EFOSC2-NTT","1","1","","18.41","orange-ATLAS","2018-08-06 13:19:12.000","ATLAS_Bot1","","","2018TNSTR1170....1T","2018TNSCR1207....1C","",""
"28838","AT 2018fap","03:02:46.330","-19:24:25.27","AGN","0.116","","","GaiaAlerts","GaiaAlerts","None","GaiaAlerts","Gaia18cdb","Gaia - Gaia-photometric","NOT - ALFOSC","1","1","","17.83","G-Gaia","2018-08-11 00:59:02.000","Gaia_Bot1","","","2018TNSTR1165....1D","2018TNSCR1263....1F","",""
"28604","AT 2018erp","22:32:55.147","-03:02:49.80","AGN","0.14","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS18tcp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","ESO-NTT - EFOSC2-NTT","1","1","","19.02","orange-ATLAS","2018-08-06 13:32:09.000","ATLAS_Bot1","","","2018TNSTR1109....1T","2018TNSCR1159....1C","",""
"28103","AT 2018dyk","15:33:08.015","+44:32:08.20","AGN","0.0367","","","ZTF","ZTF","None, ZTF","ZTF","ZTF18aajupnt","P48 - ZTF-Cam","FTN - FLOYDS-N, Keck1 - LRIS","1","1","","19.41","g-ZTF","2018-05-31 07:26:24.000","ZTF_Bot1","","","2018TNSTR.987....1F","2018TNSCR1182....1H, 2020TNSCR1834....1F","",""
"27111","AT 2018cmp","23:31:09.780","-29:57:43.67","AGN","0.0504","2MASX J23310975-2957452  ","0.0504","ASAS-SN","ASAS-SN","ASAS-SN","ASAS-SN","ASASSN-18mm","ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin","LCO-duPont - WFCCD","1","1","","17.9","g-Sloan","2018-06-11 03:21:36.000","Krzysztof Stanek","","","2018TNSTR.810....1S","2018TNSCR.988....1K","",""
"26076","AT 2018bcb","22:43:42.871","-16:59:08.49","AGN","0.12","2MASX J22434289-1659083","","ASAS-SN, ATLAS, Pan-STARRS","ASAS-SN, ATLAS, Pan-STARRS","ePESSTO","ASAS-SN, ATLAS, Pan-STARRS","ASASSN-18jd","ASASSN-3 - Paczynski, ASASSN-5 - Payne-Gaposchkin, ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","17.5","g-Sloan","2018-04-27 02:52:48.000","Krzysztof Stanek","","","2018TNSTR.555....1B","2018TNSCR.587....1M","",""
"25890","AT 2018ave","20:22:02.349","-18:22:58.88","AGN","0.056","2MASX J20220235-1822587","0.054905","ASAS-SN, ATLAS, ZTF","ASAS-SN, ATLAS, ZTF","ePESSTO","ASAS-SN, ATLAS, ZTF","ASASSN-18ib","ASASSN-3 - Paczynski, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","17.7","g-Sloan","2018-04-14 08:23:59.000","Krzysztof Stanek","","","2018TNSTR.496....1B","2018TNSCR.535....1H","",""
"25542","AT 2018ahz","14:23:50.242","-09:23:17.57","AGN","0.069","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS18mmp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","ESO-NTT - EFOSC2-NTT","1","1","","19.245","cyan-ATLAS","2018-02-13 15:50:24.000","ATLAS_Bot1","","","2018TNSTR.361....1T","2018TNSCR.450....1M","",""
"25265","AT 2018xu","08:48:55.950","+58:41:54.24","AGN","0.1325","","","GaiaAlerts","GaiaAlerts","iPTF","GaiaAlerts","Gaia18amk","Gaia - Gaia-photometric","P60 - SEDM","1","1","","17.31","G-Gaia","2018-02-17 12:24:28.000","Gaia_Bot1","","","2018TNSTR.249....1D","2018TNSCR.260....1B","",""
"25122","AT 2018sj","12:38:24.416","-19:59:13.73","AGN","","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS16abn","ATLAS-MLO - ATLAS-01","ESO-NTT - EFOSC2-NTT","1","1","","18.425","orange-ATLAS","2018-01-29 14:38:24.000","ATLAS_Bot1","","","2018TNSTR.198....1T","2018TNSCR.254....1S","",""
"23085","AT 2017hup","05:59:58.954","+52:06:54.64","AGN","0.117","","","Pan-STARRS","Pan-STARRS","iPTF","Pan-STARRS","PS17exk","PS1 - GPC1","P200 - DBSP","1","1","","17.48","i-Sloan","2017-11-03 12:21:36.000","PS1_Bot1","","","2017TNSTR1214....1C","2017TNSCR1272....1B","",""
"22567","AT 2017har","07:41:45.580","+16:13:06.10","AGN","0.11","","","GaiaAlerts","GaiaAlerts","None","GaiaAlerts","Gaia17cmd","Gaia - Gaia-photometric","P60 - SEDM","1","1","","18.38","G-Gaia","2017-09-30 10:22:04.000","Gaia_Bot1","","","2017TNSTR1058....1D","2017TNSCR1064....1B","",""
"22326","AT 2017grk","01:21:59.840","-01:02:24.70","AGN","0.06","","","ATLAS","ATLAS","ePESSTO","ATLAS","ATLAS17khl","ATLAS-HKO - ATLAS-02","ESO-NTT - EFOSC2-NTT","1","1","","18.42","orange-ATLAS","2017-08-29 13:27:50.000","ATLAS_Bot1","","","2017TNSTR.989....1T","2017TNSCR.994....1G","",""
"21979","AT 2017ggh","01:58:09.635","-32:58:33.95","AGN","0.355","","","Pan-STARRS","Pan-STARRS","ePESSTO","Pan-STARRS","PS17ebd","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.63","i-Sloan","2017-08-09 12:53:16.000","PS1_Bot1","","","2017TNSTR.897....1C","2017TNSCR.907....1L","",""
"21951","AT 2017gff","02:30:45.310","-45:07:02.09","AGN","0.143","","","Pan-STARRS","Pan-STARRS","ePESSTO","Pan-STARRS","PS17edj","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.39","i-Sloan","2017-08-14 14:05:16.000","PS1_Bot1","","","2017TNSTR.885....1C","2017TNSCR.890....1L","",""
"21918","AT 2017gdy","02:54:07.099","-41:37:31.94","AGN","0.146","","","Pan-STARRS","Pan-STARRS","ePESSTO","Pan-STARRS","PS17edh","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.36","i-Sloan","2017-08-14 13:46:33.000","PS1_Bot1","","","2017TNSTR.879....1C","2017TNSCR.881....1L","",""
"21915","AT 2017gdv","01:50:20.982","-33:38:24.53","AGN","0.256","","","Pan-STARRS","Pan-STARRS","ePESSTO","Pan-STARRS","PS17ebc","PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.48","i-Sloan","2017-08-09 14:12:28.000","PS1_Bot1","","","2017TNSTR.879....1C","2017TNSCR.881....1L","",""
"21590","AT 2017fro","17:19:55.850","+41:40:49.48","AGN","0.164","SDSS J171955.84+414049.4","","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","Global SN Project","ASAS-SN, GaiaAlerts","ASASSN-17jz","ASASSN-1 - Brutus, Gaia - Gaia-photometric","FTN - FLOYDS-N","1","1","","16.9","V-Johnson","2017-07-27 08:38:24.000","Krzysztof Stanek","","","2017TNSTR.809....1S","2017TNSCR.911....1A","",""
"18591","AT 2017bgt","16:11:05.518","+02:34:02.14","AGN","0.064","2MASX J16110570+0234002","","ASAS-SN","ASAS-SN","LCOGT SN-KP","ASAS-SN","ASASSN-17cv","ASASSN-1 - Brutus","FTN - FLOYDS-N","1","1","","17.2","V-Johnson","2017-02-21 15:07:12.000","Krzysztof Stanek","","","2017TNSTR.223....1S","2017TNSCR.241....1H","",""
"15064","AT 2016gkq","21:35:37.960","-36:46:34.75","AGN","0.58","","","GaiaAlerts","GaiaAlerts","PESSTO","GaiaAlerts","Gaia16bjk","Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.99","G-Gaia","2016-09-20 04:27:50.000","Gaia_Bot1","","","2016TNSTR.701....1D","2016TNSCR.764....1P","",""
"14380","AT 2016fkq","22:22:21.880","-23:30:24.59","AGN","0.18","","","Pan-STARRS","Pan-STARRS","ePESSTO+","Pan-STARRS","PS16dzd","PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","21.6","w-P1","2016-08-07 11:38:24.000","PS1_Bot1","","","2016TNSTR.594....1C","2023TNSCR3168....1M","",""
"14325","AT 2016fio","20:11:56.111","+81:16:02.81","AGN","0.08","GALEXASC J201155.52+811602.0 ","","ASAS-SN, iPTF","ASAS-SN, iPTF","Padova-Asiago","ASAS-SN, iPTF","ASASSN-16ji","ASASSN-1 - Brutus, P48 - CFH12k","Ekar - AFOSC","1","1","","17.1","V-Johnson","2016-08-25 10:48:00.000","Jonathan Brown","","","2016TNSTR.590....1B","2016TNSCR.597....1T","",""
"13973","AT 2016eve","23:28:27.700","+22:24:44.00","AGN","0.0116","NGC7678","","","","None","","","Other - Other","Lijiang-2.4m - YFOSC","1","1","","16.8","Clear-","2016-08-09 14:43:26.000","Shunsuke Nagata","","","2016TNSTR.537....1N","2016TNSCR.566....1Z","",""
