"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"79321","AT 2021fxu","13:47:18.790","+02:10:57.54","AGN","0.1097","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","Global SN Project","GaiaAlerts, ZTF","ZTF21aalxxzn","Gaia - Gaia-photometric, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","20.0926","g-ZTF","2021-02-13 09:06:19.296","ZTF_CLU_PUBLIC","","","2021TNSTR.792....1D","2022TNSCR1320....1N","",""
"78062","AT 2021ecs","17:36:09.262","+69:10:02.44","AGN","0.182","","","ATLAS","ATLAS","TCD","ATLAS","ATLAS21hgd","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","LT - SPRAT","1","1","","19.18","cyan-ATLAS","2021-02-17 13:35:02.400","ATLAS_Bot1","","","2021TNSTR.642....1T","2021TNSCR.794....1P","",""
"76031","AT 2021bei","15:01:44.245","+41:16:58.02","AGN","0.476","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS21ddt","ATLAS-MLO - ATLAS-01","NOT - ALFOSC","1","1","","19.476","cyan-ATLAS","2021-01-24 14:28:19.200","ATLAS_Bot1","","","2021TNSTR.240....1T","2022TNSCR1934....1R","",""
"75872","AT 2021ayi","05:40:23.890","-29:43:02.14","AGN","0.236","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO+","ATLAS, GaiaAlerts","ATLAS21bsv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","19.234","cyan-ATLAS","2021-01-17 09:02:52.800","ATLAS_Bot1","","","2021TNSTR.218....1T","2021TNSCR.314....1M","",""
"73649","AT 2020adpi","23:18:53.770","-10:35:05.82","AGN","0.26","","","ZTF, ATLAS, GaiaAlerts, AMPEL","ZTF, ATLAS, GaiaAlerts","ZTF","AMPEL, ATLAS, GaiaAlerts, ZTF","ZTF20acvfraq","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.79","r-ZTF","2020-12-11 03:02:33.792","ZTF_AMPEL_COMPLETE","","","2020TNSTR3933....1N","2021TNSCR2580....1C","",""
"73416","AT 2020adgm","04:13:02.450","-53:04:21.72","AGN","0.056","WISEA J041302.39-530422.2","","ASAS-SN, GaiaAlerts","ASAS-SN, GaiaAlerts","StarDestroyers","ASAS-SN, GaiaAlerts","ASASSN-20qc","ASASSN-3 - Paczynski, Gaia - Gaia-photometric","FTS - FLOYDS-S","1","1","","17.4","g-Sloan","2020-12-20 06:28:48.000","Krzysztof Stanek","","","2020TNSTR3850....1S","2021TNSCR.121....1A","",""
"73410","AT 2020adgg","08:16:51.119","+18:02:49.82","AGN","0.162","","","ZTF, ALeRCE, AMPEL","ZTF","ZTF","ALeRCE, AMPEL, ZTF","ZTF20acnviht","P48 - ZTF-Cam","P60 - SEDM","1","1","","20.2","g-ZTF","2020-10-15 10:56:38.400","ZTF_Bot1","","","2020TNSTR3855....1F","2021TNSCR.502....1D","",""
"73173","AT 2020acxj","17:57:49.520","+27:22:48.04","AGN","0.096","","","GaiaAlerts, ATLAS, ALeRCE, AMPEL","GaiaAlerts, ATLAS, ZTF","ZTF","AMPEL, ATLAS, GaiaAlerts, ZTF","Gaia20ftp","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","18","G-Gaia","2020-12-16 09:04:19.200","Gaia_Bot1","","","2020TNSTR3816....1H","2021TNSCR3090....1C","",""
"72931","AT 2020acob","10:12:48.242","-26:44:30.80","AGN","0.0444","","","ZTF","ZTF","ZTF","ZTF","ZTF20acwyoqx","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.5006","g-ZTF","2020-12-11 12:32:44.736","ZTF_CLU_PUBLIC","","","2020TNSTR3776....1D","2021TNSCR.502....1D","",""
"72558","AT 2020abzy","22:46:57.280","-03:46:04.72","AGN","0.158","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS20bhdd","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","ESO-NTT - EFOSC2-NTT","1","1","","18.518","orange-ATLAS","2020-12-09 06:17:16.800","ATLAS_Bot1","","","2020TNSTR3723....1T","2025TNSCR3800....1W","",""
"71933","AT 2020abea","03:44:02.900","-18:37:28.75","AGN","0.063","","","ZTF","ZTF","StarDestroyers","ZTF","ZTF20aanlygx","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.39","r-ZTF","2020-02-15 03:23:02.400","ZTF_Bot1","","","2020TNSTR3602....1F","2023TNSCR.853....1A","",""
"69121","AT 2020xda","06:27:37.000","-26:01:01.99","AGN","","WISEA J062736.99-260102.0","","ALeRCE, ATLAS, ZTF, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","SCAT","ATLAS, GaiaAlerts, ZTF","ZTF20ackgsov","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.6722","r-ZTF","2020-10-17 11:31:45.998","ALeRCE","","","2020TNSTR3152....1F","2021TNSCR.586....1P","",""
"67767","AT 2020vdo","07:54:39.900","+10:19:10.02","AGN","0.174","","","ZTF, AMPEL, GaiaAlerts","ZTF, GaiaAlerts","ePESSTO+","GaiaAlerts, ZTF","ZTF20acgcnjt","Gaia - Gaia-photometric, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.48","r-ZTF","2020-09-30 12:44:21.120","ZTF_AMPEL_COMPLETE","","","2020TNSTR3060....1N","2020TNSCR3306....1I","",""
"66383","AT 2020tcv","23:43:58.240","-24:10:47.03","AGN","0.079","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","SCAT","ATLAS, GaiaAlerts","ATLAS20zsn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","UH88 - SNIFS","1","1","","19.12","cyan-ATLAS","2020-09-13 11:13:55.200","ATLAS_Bot1","","","2020TNSTR2790....1T","2021TNSCR3200....1H","",""
"62943","AT 2020oio","17:11:03.660","+06:44:10.79","AGN","0.257","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","None","GaiaAlerts, ZTF","ZTF20abgxlut","Gaia - Gaia-photometric, P48 - ZTF-Cam","MMT - BINOSPEC","1","1","","19.44","g-ZTF","2020-07-08 06:01:56.640","ZTF_AMPEL_COMPLETE","","","2020TNSTR2098....1N","2020TNSCR2617....1T","",""
"62523","AT 2020nso","21:46:55.348","+04:29:23.10","AGN","0.563","","","YSE","Pan-STARRS","None","Pan-STARRS","PS20eor","PS1 - GPC1","Keck2 - DEIMOS","1","1","","21.13","g-Sloan","2020-06-27 13:37:55.200","YSE_Bot1","","","2020TNSTR1983....1J","2020TNSCR2902....1T","",""
"61666","AT 2020mma","12:35:40.368","-21:02:47.75","AGN","0.061759","","","ZTF, AMPEL","ZTF","Global SN Project","ZTF","ZTF20abbhlct","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.17","r-ZTF","2020-06-13 04:24:42.048","ZTF_AMPEL_COMPLETE","","","2020TNSTR1787....1N","2022TNSCR1275....1N","",""
"56633","AT 2020fhp","18:26:32.660","+21:09:07.81","AGN","0.223","","","ZTF, GaiaAlerts, AMPEL","ZTF, GaiaAlerts","Global SN Project","GaiaAlerts, ZTF","ZTF20aasivtu","Gaia - Gaia-photometric, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","20","r-ZTF","2020-03-04 11:40:47.424","ZTF_AMPEL_COMPLETE","","","2020TNSTR.904....1N","2022TNSCR1320....1N","",""
"56358","AT 2020fap","15:14:14.536","+11:11:20.64","AGN","0.096","","","YSE, AMPEL","Pan-STARRS, ZTF","UCSC","AMPEL, Pan-STARRS","PS20aja","P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","19.31","g-Sloan","2020-03-24 14:41:16.800","YSE_Bot1","","","2020TNSTR.873....1J","2020TNSCR1847....1S","",""
